Step,method1,method2,method3,method4,method5,method6,method7,method8,method9,method10,method11,method12,method13,method14,method15,method16,method17,method18
1198,0.336175,0.3174,0.3506,0.2869,0.2787,0.2951,0.3156,0.3156,0.3156,0.0085,0.0063,0.0099,0.3421,0.3421,0.3421,0.3356,0.3356,0.3356
1202,0.333175,0.3179,0.3507,0.28655,0.2764,0.2967,0.3163,0.3163,0.3163,0.0058,0.0034,0.0106,0.3375,0.3375,0.3375,0.3292,0.3292,0.3292
1206,0.331225,0.3222,0.3408,0.28605,0.2763,0.2958,0.3093,0.3093,0.3093,0.015433333,0.0154,0.0155,0.3423,0.3423,0.3423,0.3314,0.3314,0.3314
1210,0.33205,0.3243,0.3442,0.2871,0.2816,0.2926,0.3032,0.3032,0.3032,0.0142,0.0132,0.0147,0.338,0.338,0.338,0.3347,0.3347,0.3347
1214,0.3322,0.3181,0.3497,0.2848,0.2768,0.2928,0.317,0.317,0.317,0.011933333,0.0102,0.0132,0.3437,0.3437,0.3437,0.334,0.334,0.334
1218,0.327925,0.3187,0.338,0.2807,0.2705,0.2909,0.3035,0.3035,0.3035,0.0095,0.0089,0.01,0.337,0.337,0.337,0.3232,0.3232,0.3232
1222,0.3299,0.3233,0.3408,0.28605,0.276,0.2961,0.3096,0.3096,0.3096,0.005333333,0.0034,0.0092,0.3365,0.3365,0.3365,0.3309,0.3309,0.3309
1226,0.32735,0.3147,0.34,0.2804,0.2784,0.2824,0.3021,0.3021,0.3021,0.0085,0.0035,0.011,0.3426,0.3426,0.3426,0.3307,0.3307,0.3307
1230,0.332575,0.321,0.3438,0.27935,0.2741,0.2846,0.3044,0.3044,0.3044,0.012166667,0.0103,0.0131,0.339,0.339,0.339,0.3299,0.3299,0.3299
1234,0.327,0.3143,0.3364,0.27825,0.2719,0.2846,0.3077,0.3077,0.3077,0.0101,0.0074,0.0155,0.3379,0.3379,0.3379,0.3312,0.3312,0.3312
1238,0.329275,0.32,0.3415,0.2857,0.2774,0.294,0.3182,0.3182,0.3182,0.007566667,0.0074,0.0078,0.3412,0.3412,0.3412,0.3378,0.3378,0.3378
1242,0.33365,0.3168,0.3444,0.2827,0.2738,0.2916,0.3139,0.3139,0.3139,0.011366667,0.011,0.0121,0.3436,0.3436,0.3436,0.3335,0.3335,0.3335
1246,0.3346,0.319,0.3434,0.2871,0.2821,0.2921,0.3053,0.3053,0.3053,0.010666667,0.0105,0.011,0.3453,0.3453,0.3453,0.3381,0.3381,0.3381
1250,0.33615,0.3266,0.3523,0.28815,0.2865,0.2898,0.2969,0.2969,0.2969,0.0114,0.0106,0.0118,0.3442,0.3442,0.3442,0.3407,0.3407,0.3407
1254,0.3322,0.3203,0.3429,0.289,0.2751,0.3029,0.3076,0.3076,0.3076,0.010866667,0.0081,0.0137,0.3445,0.3445,0.3445,0.3348,0.3348,0.3348
1258,0.33385,0.3231,0.3468,0.2844,0.2807,0.2881,0.303,0.303,0.303,0.010866667,0.0086,0.0129,0.3468,0.3468,0.3468,0.3387,0.3387,0.3387
1262,0.330975,0.3213,0.3392,0.27435,0.2713,0.2774,0.3104,0.3104,0.3104,0.0106,0.0093,0.0128,0.343,0.343,0.343,0.3334,0.3334,0.3334
1266,0.3299,0.3198,0.3443,0.2856,0.279,0.2922,0.3094,0.3094,0.3094,0.005233333,0.0051,0.0053,0.3465,0.3465,0.3465,0.3413,0.3413,0.3413
1270,0.328325,0.3215,0.341,0.2794,0.2694,0.2894,0.3127,0.3127,0.3127,0.009766667,0.0072,0.0111,0.3398,0.3398,0.3398,0.3323,0.3323,0.3323
1274,0.335325,0.3281,0.3465,0.28405,0.2754,0.2927,0.3163,0.3163,0.3163,0.0117,0.0095,0.0129,0.3481,0.3481,0.3481,0.3358,0.3358,0.3358
1278,0.337625,0.3266,0.3455,0.2935,0.2819,0.3051,0.3199,0.3199,0.3199,0.009766667,0.0094,0.0105,0.3461,0.3461,0.3461,0.3402,0.3402,0.3402
1282,0.33815,0.3276,0.3485,0.2919,0.281,0.3028,0.3156,0.3156,0.3156,0.009066667,0.0081,0.011,0.3464,0.3464,0.3464,0.3393,0.3393,0.3393
1286,0.3357,0.3265,0.3469,0.29145,0.2808,0.3021,0.3133,0.3133,0.3133,0.009966667,0.0094,0.0111,0.348,0.348,0.348,0.3369,0.3369,0.3369
1290,0.3323,0.3213,0.3445,0.29525,0.2805,0.31,0.3064,0.3064,0.3064,0.010233333,0.0093,0.0107,0.3461,0.3461,0.3461,0.3414,0.3414,0.3414
1294,0.3341,0.3277,0.3481,0.28095,0.2725,0.2894,0.3175,0.3175,0.3175,0.010666667,0.0072,0.0124,0.3537,0.3537,0.3537,0.3294,0.3294,0.3294
1298,0.334075,0.3289,0.3448,0.2871,0.2759,0.2983,0.3212,0.3212,0.3212,0.013633333,0.0129,0.014,0.343,0.343,0.343,0.3319,0.3319,0.3319
1302,0.334575,0.3221,0.344,0.28555,0.2739,0.2972,0.3204,0.3204,0.3204,0.005866667,0.005,0.0063,0.3424,0.3424,0.3424,0.3347,0.3347,0.3347
1306,0.3348,0.3285,0.349,0.28565,0.2765,0.2948,0.3181,0.3181,0.3181,0.009866667,0.008,0.0108,0.3448,0.3448,0.3448,0.336,0.336,0.336
1310,0.334475,0.3247,0.3487,0.27615,0.2721,0.2802,0.305,0.305,0.305,0.007966667,0.0055,0.0124,0.3481,0.3481,0.3481,0.3362,0.3362,0.3362
1314,0.335175,0.3238,0.3496,0.28325,0.2738,0.2927,0.3255,0.3255,0.3255,0.0082,0.0074,0.0094,0.3455,0.3455,0.3455,0.3401,0.3401,0.3401
1318,0.335525,0.3168,0.35,0.2856,0.278,0.2932,0.3291,0.3291,0.3291,0.008033333,0.0074,0.0093,0.3508,0.3508,0.3508,0.3367,0.3367,0.3367
1322,0.3321,0.3229,0.3428,0.28995,0.2793,0.3006,0.319,0.319,0.319,0.009766667,0.0097,0.0098,0.3518,0.3518,0.3518,0.3394,0.3394,0.3394
1326,0.333075,0.3172,0.3424,0.2873,0.2747,0.2999,0.3247,0.3247,0.3247,0.0082,0.0081,0.0084,0.3473,0.3473,0.3473,0.3382,0.3382,0.3382
1330,0.3309,0.3185,0.3412,0.2853,0.2736,0.297,0.3128,0.3128,0.3128,0.008733333,0.0076,0.0108,0.3328,0.3328,0.3328,0.332,0.332,0.332
1334,0.3314,0.3235,0.3429,0.28625,0.2726,0.2999,0.3147,0.3147,0.3147,0.010466667,0.0035,0.014,0.3456,0.3456,0.3456,0.3361,0.3361,0.3361
1338,0.335325,0.3272,0.3457,0.27895,0.2735,0.2844,0.3167,0.3167,0.3167,0.010766667,0.0107,0.0108,0.3456,0.3456,0.3456,0.3333,0.3333,0.3333
1342,0.33305,0.3202,0.3474,0.2932,0.2779,0.3085,0.3043,0.3043,0.3043,0.0117,0.0107,0.0122,0.3442,0.3442,0.3442,0.3365,0.3365,0.3365
1346,0.335725,0.3289,0.3428,0.2864,0.2773,0.2955,0.3162,0.3162,0.3162,0.0116,0.0064,0.0149,0.3386,0.3386,0.3386,0.3424,0.3424,0.3424
1350,0.337675,0.3289,0.3466,0.29245,0.2812,0.3037,0.3229,0.3229,0.3229,0.0095,0.0089,0.0105,0.3428,0.3428,0.3428,0.3356,0.3356,0.3356
1354,0.337375,0.3322,0.3423,0.28935,0.2781,0.3006,0.3224,0.3224,0.3224,0.0091,0.0081,0.011,0.3487,0.3487,0.3487,0.3373,0.3373,0.3373
1358,0.330875,0.3251,0.338,0.28845,0.2799,0.297,0.3139,0.3139,0.3139,0.013833333,0.0083,0.0167,0.3515,0.3515,0.3515,0.3371,0.3371,0.3371
1362,0.336,0.3278,0.3486,0.2961,0.2841,0.3081,0.3254,0.3254,0.3254,0.007266667,0.0072,0.0073,0.3565,0.3565,0.3565,0.3421,0.3421,0.3421
1366,0.3366,0.3258,0.3479,0.2942,0.279,0.3094,0.3189,0.3189,0.3189,0.009866667,0.0078,0.0109,0.355,0.355,0.355,0.3419,0.3419,0.3419
1370,0.33415,0.3235,0.3462,0.2909,0.2786,0.3032,0.3159,0.3159,0.3159,0.0091,0.008,0.0113,0.3475,0.3475,0.3475,0.3347,0.3347,0.3347
1374,0.3392,0.3285,0.3523,0.29045,0.2813,0.2996,0.3221,0.3221,0.3221,0.0086,0.0063,0.0132,0.3495,0.3495,0.3495,0.3393,0.3393,0.3393
1378,0.3344,0.326,0.3501,0.29,0.2798,0.3002,0.3265,0.3265,0.3265,0.011033333,0.0099,0.0116,0.3475,0.3475,0.3475,0.3406,0.3406,0.3406
1382,0.33005,0.3208,0.3473,0.29405,0.2789,0.3092,0.3221,0.3221,0.3221,0.006,0.006,0.006,0.3447,0.3447,0.3447,0.3397,0.3397,0.3397
1386,0.33455,0.3271,0.3433,0.28925,0.2786,0.2999,0.3267,0.3267,0.3267,0.011466667,0.0098,0.0148,0.346,0.346,0.346,0.3432,0.3432,0.3432
1390,0.331725,0.3271,0.3413,0.29135,0.2766,0.3061,0.3206,0.3206,0.3206,0.004266667,0.0042,0.0044,0.3454,0.3454,0.3454,0.3403,0.3403,0.3403
1394,0.339375,0.3244,0.36,0.2916,0.2813,0.3019,0.3214,0.3214,0.3214,0.0075,0.0065,0.008,0.3451,0.3451,0.3451,0.3442,0.3442,0.3442
1398,0.33685,0.3245,0.3529,0.2928,0.2831,0.3025,0.3124,0.3124,0.3124,0.011333333,0.0107,0.0124,0.3431,0.3431,0.3431,0.3418,0.3418,0.3418
1402,0.337275,0.3223,0.354,0.2882,0.2767,0.2997,0.3158,0.3158,0.3158,0.0099,0.0079,0.0109,0.3416,0.3416,0.3416,0.3414,0.3414,0.3414
1406,0.3394,0.3252,0.3546,0.29165,0.2782,0.3051,0.3214,0.3214,0.3214,0.012633333,0.0122,0.0135,0.352,0.352,0.352,0.3419,0.3419,0.3419
1410,0.341925,0.3279,0.3577,0.29095,0.2827,0.2992,0.3286,0.3286,0.3286,0.0103,0.0077,0.0116,0.3543,0.3543,0.3543,0.3383,0.3383,0.3383
1414,0.339625,0.3246,0.3541,0.29395,0.2805,0.3074,0.3287,0.3287,0.3287,0.010733333,0.0107,0.0108,0.3503,0.3503,0.3503,0.3403,0.3403,0.3403
1418,0.338925,0.3299,0.351,0.29385,0.2816,0.3061,0.3333,0.3333,0.3333,0.0109,0.0107,0.011,0.3485,0.3485,0.3485,0.3468,0.3468,0.3468
1422,0.335,0.3272,0.3494,0.2833,0.2762,0.2904,0.3211,0.3211,0.3211,0.007833333,0.0063,0.0109,0.3465,0.3465,0.3465,0.3436,0.3436,0.3436
1426,0.33295,0.3237,0.3452,0.2888,0.2776,0.3,0.3217,0.3217,0.3217,0.0042,0.0034,0.0046,0.3482,0.3482,0.3482,0.3472,0.3472,0.3472
1430,0.336275,0.3234,0.3523,0.2916,0.2832,0.3,0.3248,0.3248,0.3248,0.010633333,0.0099,0.011,0.3537,0.3537,0.3537,0.3489,0.3489,0.3489
1434,0.34605,0.3346,0.3584,0.28725,0.2784,0.2961,0.3333,0.3333,0.3333,0.0125,0.0121,0.0127,0.3504,0.3504,0.3504,0.3517,0.3517,0.3517
1438,0.3375,0.3291,0.3519,0.29065,0.2787,0.3026,0.3247,0.3247,0.3247,0.006366667,0.0062,0.0066,0.3506,0.3506,0.3506,0.3431,0.3431,0.3431
1442,0.337425,0.3269,0.3495,0.2976,0.2813,0.3139,0.3287,0.3287,0.3287,0.0109,0.0109,0.0109,0.3488,0.3488,0.3488,0.3405,0.3405,0.3405
1446,0.3345,0.3251,0.3473,0.27955,0.2754,0.2837,0.3198,0.3198,0.3198,0.0109,0.0101,0.0125,0.3452,0.3452,0.3452,0.3335,0.3335,0.3335
1450,0.334925,0.326,0.3454,0.29085,0.2765,0.3052,0.316,0.316,0.316,0.012366667,0.0063,0.0154,0.3467,0.3467,0.3467,0.3357,0.3357,0.3357
1454,0.3324,0.3256,0.3384,0.2906,0.278,0.3032,0.3188,0.3188,0.3188,0.008633333,0.0086,0.0087,0.3461,0.3461,0.3461,0.3349,0.3349,0.3349
1458,0.3315,0.3263,0.3374,0.2936,0.2765,0.3107,0.315,0.315,0.315,0.0043,0.0034,0.0061,0.3458,0.3458,0.3458,0.3343,0.3343,0.3343
1462,0.33185,0.3262,0.3355,0.26485,0.2599,0.2698,0.3114,0.3114,0.3114,0.006366667,0.0063,0.0065,0.345,0.345,0.345,0.3306,0.3306,0.3306
1466,0.334925,0.3261,0.3428,0.2965,0.2783,0.3147,0.3117,0.3117,0.3117,0.01,0.0079,0.0111,0.3509,0.3509,0.3509,0.3372,0.3372,0.3372
1470,0.338225,0.3224,0.3568,0.2973,0.2808,0.3138,0.3213,0.3213,0.3213,0.0108,0.0094,0.0136,0.3491,0.3491,0.3491,0.3425,0.3425,0.3425
1474,0.336975,0.3293,0.3495,0.2948,0.2794,0.3102,0.3194,0.3194,0.3194,0.007666667,0.0076,0.0077,0.3474,0.3474,0.3474,0.3367,0.3367,0.3367
1478,0.332225,0.3235,0.3447,0.2869,0.2779,0.2959,0.3219,0.3219,0.3219,0.007366667,0.0073,0.0075,0.3478,0.3478,0.3478,0.3379,0.3379,0.3379
1482,0.337525,0.3327,0.3454,0.29075,0.2792,0.3023,0.3338,0.3338,0.3338,0.011266667,0.0099,0.0128,0.3473,0.3473,0.3473,0.3372,0.3372,0.3372
1486,0.3356,0.3194,0.3496,0.2908,0.2845,0.2971,0.3168,0.3168,0.3168,0.0102,0.0089,0.011,0.3557,0.3557,0.3557,0.3418,0.3418,0.3418
1490,0.332425,0.3104,0.3534,0.2888,0.2742,0.3034,0.3273,0.3273,0.3273,0.009866667,0.0081,0.0134,0.3597,0.3597,0.3597,0.3409,0.3409,0.3409
1494,0.336775,0.3247,0.3533,0.29,0.2783,0.3017,0.3157,0.3157,0.3157,0.010266667,0.0076,0.0116,0.3569,0.3569,0.3569,0.3371,0.3371,0.3371
1498,0.33485,0.3217,0.3468,0.29695,0.2792,0.3147,0.3074,0.3074,0.3074,0.0086,0.0073,0.0112,0.3524,0.3524,0.3524,0.3333,0.3333,0.3333
1502,0.33605,0.3265,0.3461,0.2913,0.2787,0.3039,0.3251,0.3251,0.3251,0.010133333,0.0094,0.0105,0.3513,0.3513,0.3513,0.341,0.341,0.341
1506,0.339,0.3232,0.3518,0.2929,0.2817,0.3041,0.3264,0.3264,0.3264,0.0109,0.0101,0.0113,0.3594,0.3594,0.3594,0.342,0.342,0.342
1510,0.337525,0.3296,0.3488,0.295,0.283,0.307,0.327,0.327,0.327,0.011133333,0.0105,0.0124,0.3536,0.3536,0.3536,0.3425,0.3425,0.3425
1514,0.3361,0.3322,0.3446,0.30385,0.2853,0.3224,0.3232,0.3232,0.3232,0.009366667,0.0073,0.0135,0.3473,0.3473,0.3473,0.342,0.342,0.342
1518,0.33755,0.3254,0.3504,0.2916,0.2787,0.3045,0.3177,0.3177,0.3177,0.009333333,0.0093,0.0094,0.3439,0.3439,0.3439,0.3375,0.3375,0.3375
1522,0.34295,0.3312,0.3516,0.28875,0.277,0.3005,0.322,0.322,0.322,0.0123,0.0089,0.014,0.3483,0.3483,0.3483,0.3415,0.3415,0.3415
1526,0.336925,0.3304,0.3465,0.2931,0.2724,0.3138,0.3234,0.3234,0.3234,0.011033333,0.011,0.0111,0.353,0.353,0.353,0.3416,0.3416,0.3416
1530,0.338725,0.333,0.345,0.29945,0.2845,0.3144,0.3244,0.3244,0.3244,0.0125,0.0122,0.0131,0.355,0.355,0.355,0.34,0.34,0.34
1534,0.33635,0.3254,0.3484,0.29575,0.2768,0.3147,0.3125,0.3125,0.3125,0.009466667,0.0093,0.0098,0.3517,0.3517,0.3517,0.336,0.336,0.336
1538,0.336325,0.3272,0.3459,0.2882,0.2774,0.299,0.3221,0.3221,0.3221,0.008233333,0.0076,0.0095,0.3485,0.3485,0.3485,0.3408,0.3408,0.3408
1542,0.335375,0.3289,0.3386,0.28845,0.2727,0.3042,0.3335,0.3335,0.3335,0.0098,0.0062,0.0116,0.3558,0.3558,0.3558,0.3401,0.3401,0.3401
1546,0.3369,0.3267,0.3467,0.29595,0.2764,0.3155,0.3135,0.3135,0.3135,0.0084,0.0066,0.0093,0.3572,0.3572,0.3572,0.34,0.34,0.34
1550,0.3358,0.3284,0.3501,0.2919,0.274,0.3098,0.3218,0.3218,0.3218,0.010633333,0.0067,0.0126,0.3511,0.3511,0.3511,0.3364,0.3364,0.3364
1554,0.338,0.3254,0.3464,0.2946,0.2782,0.311,0.3213,0.3213,0.3213,0.0096,0.0095,0.0098,0.351,0.351,0.351,0.3378,0.3378,0.3378
1558,0.3366,0.3217,0.3506,0.29455,0.2775,0.3116,0.3084,0.3084,0.3084,0.010733333,0.0102,0.011,0.349,0.349,0.349,0.3365,0.3365,0.3365
1562,0.3412,0.3267,0.3578,0.29565,0.2825,0.3088,0.3246,0.3246,0.3246,0.010466667,0.0082,0.0116,0.3528,0.3528,0.3528,0.3428,0.3428,0.3428
1566,0.34075,0.334,0.351,0.2988,0.2792,0.3184,0.3227,0.3227,0.3227,0.0116,0.011,0.0119,0.3581,0.3581,0.3581,0.3471,0.3471,0.3471
1570,0.337775,0.3349,0.3405,0.29655,0.2756,0.3175,0.3227,0.3227,0.3227,0.010666667,0.0095,0.013,0.3538,0.3538,0.3538,0.3394,0.3394,0.3394
1574,0.332425,0.3236,0.3463,0.29,0.277,0.303,0.3124,0.3124,0.3124,0.009366667,0.0063,0.0109,0.3502,0.3502,0.3502,0.3356,0.3356,0.3356
1578,0.342825,0.3308,0.3548,0.3005,0.2843,0.3167,0.3361,0.3361,0.3361,0.007433333,0.0074,0.0075,0.3504,0.3504,0.3504,0.3478,0.3478,0.3478
1582,0.3425,0.3311,0.3573,0.2934,0.2779,0.3089,0.3299,0.3299,0.3299,0.008733333,0.0082,0.009,0.3534,0.3534,0.3534,0.3496,0.3496,0.3496
1586,0.34095,0.3308,0.3513,0.2865,0.2759,0.2971,0.3294,0.3294,0.3294,0.012033333,0.0115,0.0123,0.3553,0.3553,0.3553,0.3439,0.3439,0.3439
1590,0.34105,0.3283,0.3457,0.2901,0.2729,0.3073,0.3312,0.3312,0.3312,0.011433333,0.0109,0.0125,0.3577,0.3577,0.3577,0.342,0.342,0.342
1594,0.3452,0.3372,0.3522,0.3012,0.2795,0.3229,0.3232,0.3232,0.3232,0.009,0.0078,0.0112,0.3544,0.3544,0.3544,0.3476,0.3476,0.3476
1598,0.34425,0.3289,0.3541,0.2918,0.277,0.3066,0.3315,0.3315,0.3315,0.012133333,0.0096,0.0134,0.3591,0.3591,0.3591,0.351,0.351,0.351
1602,0.343775,0.3275,0.3541,0.30095,0.283,0.3189,0.3309,0.3309,0.3309,0.011133333,0.0098,0.0118,0.3527,0.3527,0.3527,0.3451,0.3451,0.3451
1606,0.33825,0.3278,0.35,0.2984,0.276,0.3208,0.3181,0.3181,0.3181,0.009533333,0.009,0.0106,0.3564,0.3564,0.3564,0.3432,0.3432,0.3432
1610,0.3361,0.3239,0.3491,0.2866,0.2688,0.3044,0.3168,0.3168,0.3168,0.0053,0.0053,0.0053,0.3504,0.3504,0.3504,0.3356,0.3356,0.3356
1614,0.338075,0.3329,0.3446,0.29375,0.2754,0.3121,0.3216,0.3216,0.3216,0.0103,0.0063,0.0123,0.3517,0.3517,0.3517,0.3441,0.3441,0.3441
1618,0.33845,0.3308,0.3476,0.28205,0.2747,0.2894,0.3262,0.3262,0.3262,0.006333333,0.0042,0.0074,0.3538,0.3538,0.3538,0.3387,0.3387,0.3387
1622,0.34035,0.3348,0.3524,0.2946,0.2752,0.314,0.3285,0.3285,0.3285,0.011,0.0101,0.0128,0.3545,0.3545,0.3545,0.3424,0.3424,0.3424
1626,0.34025,0.3292,0.3505,0.29135,0.2696,0.3131,0.3192,0.3192,0.3192,0.0095,0.0095,0.0095,0.3543,0.3543,0.3543,0.3385,0.3385,0.3385
1630,0.339875,0.3269,0.3482,0.2938,0.2743,0.3133,0.319,0.319,0.319,0.0089,0.0089,0.0089,0.3568,0.3568,0.3568,0.3409,0.3409,0.3409
1634,0.341875,0.3328,0.3532,0.304,0.286,0.322,0.3301,0.3301,0.3301,0.007733333,0.0062,0.0108,0.3531,0.3531,0.3531,0.3412,0.3412,0.3412
1638,0.3399,0.3324,0.3538,0.2977,0.2807,0.3147,0.3263,0.3263,0.3263,0.008333333,0.0034,0.0108,0.3457,0.3457,0.3457,0.3407,0.3407,0.3407
1642,0.3402,0.3306,0.3534,0.28025,0.27,0.2905,0.3174,0.3174,0.3174,0.010366667,0.0091,0.011,0.3515,0.3515,0.3515,0.3429,0.3429,0.3429
1646,0.34015,0.3332,0.3483,0.2882,0.2744,0.302,0.3257,0.3257,0.3257,0.0093,0.0086,0.0107,0.3517,0.3517,0.3517,0.3464,0.3464,0.3464
1650,0.345725,0.341,0.3545,0.2945,0.2773,0.3117,0.3324,0.3324,0.3324,0.009366667,0.008,0.0121,0.355,0.355,0.355,0.3466,0.3466,0.3466
1654,0.34395,0.3368,0.3528,0.2993,0.2776,0.321,0.3251,0.3251,0.3251,0.012133333,0.012,0.0122,0.3537,0.3537,0.3537,0.3446,0.3446,0.3446
1658,0.3414,0.3301,0.3518,0.29765,0.2792,0.3161,0.3209,0.3209,0.3209,0.009066667,0.0082,0.0095,0.355,0.355,0.355,0.3411,0.3411,0.3411
1662,0.336275,0.3296,0.3421,0.28995,0.2714,0.3085,0.3181,0.3181,0.3181,0.0113,0.0108,0.0116,0.353,0.353,0.353,0.3438,0.3438,0.3438
1666,0.343575,0.3344,0.3559,0.2996,0.2788,0.3204,0.3228,0.3228,0.3228,0.008633333,0.0072,0.0115,0.351,0.351,0.351,0.3436,0.3436,0.3436
1670,0.3437,0.3311,0.3536,0.2953,0.2773,0.3133,0.3165,0.3165,0.3165,0.011466667,0.0108,0.0128,0.3529,0.3529,0.3529,0.3498,0.3498,0.3498
1674,0.34125,0.3225,0.3593,0.3009,0.278,0.3238,0.3352,0.3352,0.3352,0.010033333,0.01,0.0101,0.3542,0.3542,0.3542,0.3484,0.3484,0.3484
1678,0.344,0.3323,0.3643,0.29535,0.2756,0.3151,0.3273,0.3273,0.3273,0.010566667,0.0105,0.0107,0.3536,0.3536,0.3536,0.3481,0.3481,0.3481
1682,0.341275,0.3345,0.3534,0.29145,0.2738,0.3091,0.3331,0.3331,0.3331,0.0081,0.008,0.0083,0.3495,0.3495,0.3495,0.3466,0.3466,0.3466
1686,0.343975,0.3405,0.3505,0.30265,0.2793,0.326,0.3269,0.3269,0.3269,0.011266667,0.008,0.0129,0.3534,0.3534,0.3534,0.3419,0.3419,0.3419
1690,0.345725,0.3314,0.3558,0.29985,0.2832,0.3165,0.3332,0.3332,0.3332,0.007966667,0.0073,0.0093,0.3513,0.3513,0.3513,0.3521,0.3521,0.3521
1694,0.3413,0.3302,0.3514,0.2942,0.2739,0.3145,0.3252,0.3252,0.3252,0.006933333,0.0063,0.0082,0.3518,0.3518,0.3518,0.3447,0.3447,0.3447
1698,0.33965,0.33,0.3557,0.2997,0.2826,0.3168,0.3229,0.3229,0.3229,0.007033333,0.0063,0.0074,0.3525,0.3525,0.3525,0.3456,0.3456,0.3456
1702,0.34145,0.333,0.3563,0.2978,0.278,0.3176,0.3267,0.3267,0.3267,0.011366667,0.0109,0.0116,0.3525,0.3525,0.3525,0.3502,0.3502,0.3502
1706,0.3361,0.331,0.342,0.2897,0.2777,0.3017,0.3315,0.3315,0.3315,0.008866667,0.008,0.0106,0.3518,0.3518,0.3518,0.3486,0.3486,0.3486
1710,0.3365,0.3275,0.3507,0.29765,0.2782,0.3171,0.3255,0.3255,0.3255,0.013233333,0.0123,0.0137,0.3528,0.3528,0.3528,0.3516,0.3516,0.3516
1714,0.342875,0.3312,0.357,0.2976,0.2804,0.3148,0.3239,0.3239,0.3239,0.009466667,0.0094,0.0096,0.3574,0.3574,0.3574,0.3509,0.3509,0.3509
1718,0.34225,0.3314,0.3498,0.29715,0.2754,0.3189,0.3261,0.3261,0.3261,0.010833333,0.0108,0.0109,0.3565,0.3565,0.3565,0.3429,0.3429,0.3429
1722,0.33965,0.3318,0.3443,0.29255,0.2774,0.3077,0.3248,0.3248,0.3248,0.0057,0.0046,0.0079,0.359,0.359,0.359,0.348,0.348,0.348
1726,0.3384,0.3322,0.3443,0.2997,0.2798,0.3196,0.3295,0.3295,0.3295,0.008233333,0.0074,0.0099,0.3615,0.3615,0.3615,0.3496,0.3496,0.3496
1730,0.339833333,0.3341,0.3506,0.29795,0.2757,0.3202,0.325,0.325,0.325,0.010766667,0.0094,0.0135,0.3565,0.3565,0.3565,0.3458,0.3458,0.3458
1734,0.342933333,0.332,0.3494,0.29355,0.2769,0.3102,0.3312,0.3312,0.3312,0.010833333,0.0108,0.0109,0.3582,0.3582,0.3582,0.3487,0.3487,0.3487
1738,0.340033333,0.3302,0.3485,0.30245,0.2801,0.3248,0.329,0.329,0.329,0.009433333,0.0081,0.0109,0.3587,0.3587,0.3587,0.35,0.35,0.35
1742,0.340933333,0.3316,0.35,0.29565,0.2801,0.3112,0.3243,0.3243,0.3243,0.011166667,0.0097,0.0139,0.3524,0.3524,0.3524,0.3505,0.3505,0.3505
1746,0.342133333,0.3328,0.3529,0.2945,0.2765,0.3125,0.3324,0.3324,0.3324,0.007366667,0.0035,0.0093,0.352,0.352,0.352,0.3469,0.3469,0.3469
1750,0.342566667,0.3329,0.3511,0.29675,0.2765,0.317,0.3268,0.3268,0.3268,0.011933333,0.0116,0.0124,0.3505,0.3505,0.3505,0.3434,0.3434,0.3434
1754,0.345633333,0.3411,0.3514,0.29565,0.2749,0.3164,0.3231,0.3231,0.3231,0.011333333,0.0104,0.0118,0.3563,0.3563,0.3563,0.3452,0.3452,0.3452
1758,0.3436,0.3365,0.3564,0.29685,0.2779,0.3158,0.3372,0.3372,0.3372,0.009333333,0.0093,0.0094,0.3604,0.3604,0.3604,0.3491,0.3491,0.3491
1762,0.3439,0.3353,0.3564,0.2964,0.2761,0.3167,0.3351,0.3351,0.3351,0.0095,0.0065,0.011,0.3598,0.3598,0.3598,0.3471,0.3471,0.3471
1766,0.341833333,0.3326,0.3481,0.2976,0.2795,0.3157,0.3335,0.3335,0.3335,0.010466667,0.01,0.0107,0.3541,0.3541,0.3541,0.3477,0.3477,0.3477
1770,0.343666667,0.3353,0.3507,0.29855,0.2773,0.3198,0.3202,0.3202,0.3202,0.0126,0.0083,0.0148,0.3521,0.3521,0.3521,0.3437,0.3437,0.3437
1774,0.342166667,0.3362,0.3477,0.2976,0.2748,0.3204,0.3358,0.3358,0.3358,0.008866667,0.0086,0.0094,0.3542,0.3542,0.3542,0.3373,0.3373,0.3373
1778,0.337766667,0.3327,0.3415,0.2909,0.2727,0.3091,0.3249,0.3249,0.3249,0.012633333,0.0098,0.0154,0.3531,0.3531,0.3531,0.3432,0.3432,0.3432
1782,0.346,0.337,0.3532,0.29855,0.2795,0.3176,0.3253,0.3253,0.3253,0.014,0.014,0.014,0.3592,0.3592,0.3592,0.3427,0.3427,0.3427
1786,0.3507,0.3413,0.3581,0.3011,0.2791,0.3231,0.3411,0.3411,0.3411,0.010566667,0.0105,0.0107,0.3586,0.3586,0.3586,0.3443,0.3443,0.3443
1790,0.346933333,0.3375,0.3561,0.29685,0.273,0.3207,0.3356,0.3356,0.3356,0.008966667,0.008,0.0109,0.3655,0.3655,0.3655,0.3424,0.3424,0.3424
1794,0.342233333,0.3344,0.3491,0.2923,0.2695,0.3151,0.326,0.326,0.326,0.004633333,0.0046,0.0047,0.3621,0.3621,0.3621,0.3374,0.3374,0.3374
1798,0.3413,0.336,0.3479,0.2965,0.2748,0.3182,0.3243,0.3243,0.3243,0.0083,0.0078,0.0093,0.3606,0.3606,0.3606,0.3413,0.3413,0.3413
